635.weather_s

"Peak Portability Flags"
605.lbm_s
613.soma_s
618.tealeaf_s
619.clvleaf_s
621.miniswp_s
628.pot3d_s
632.sph_exa_s
634.hpgmgfv_s
635.weather_s

"Peak Optimization Flags"
605.lbm_s
613.soma_s
618.tealeaf_s
619.clvleaf_s
621.miniswp_s
628.pot3d_s
632.sph_exa_s
634.hpgmgfv_s
635.weather_s

"Peak Other Flags"
605.lbm_s
613.soma_s
618.tealeaf_s
619.clvleaf_s
621.miniswp_s
628.pot3d_s
632.sph_exa_s
634.hpgmgfv_s
635.weather_s

"Peak Forbidden Flags"
605.lbm_s
613.soma_s
618.tealeaf_s
619.clvleaf_s
621.miniswp_s
628.pot3d_s
632.sph_exa_s
634.hpgmgfv_s
635.weather_s

"Peak Unknown Flags"
605.lbm_s
613.soma_s
618.tealeaf_s
619.clvleaf_s
621.miniswp_s
628.pot3d_s
632.sph_exa_s
634.hpgmgfv_s
635.weather_s
----------------
"For questions about","this result, please","contact the tester.",
"For other inquiries,","please contact",info@spec.org.,
"Copyright 2021-2022 Standard","Performance Evaluation",Corporation,
"Tested with SPEC hpc2021",v1.0.3.
"Result run on","2022-07-01 17:50:12+0000."
"Report generated on","2022-07-02 00:25:35","by SPEC hpc2021 CSV","formatter v1.0.3."
