535.weather_t

"Peak Optimization Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Other Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Forbidden Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Unknown Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t
----------------
"For questions about","this result, please","contact the tester.",
"For other inquiries,","please contact",info@spec.org.,
"Copyright 2021-2022 Standard","Performance Evaluation",Corporation,
"Tested with SPEC hpc2021",v1.0.3.
"Result run on","2022-06-30 17:07:57+0000."
"Report generated on","2022-06-30 18:14:50","by SPEC hpc2021 CSV","formatter v1.0.3."
