valid,1
519.clvleaf_t,8,64,OMP,191.73662,8.605555,1,S,,,,,NR,"SelectedIteration (base #1; peak NR)"
521.miniswp_t,8,64,OMP,158.976897,10.064355,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
528.pot3d_t,8,64,OMP,394.7992,5.382483,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
532.sph_exa_t,8,64,OMP,270.997069,7.19565,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
534.hpgmgfv_t,8,64,OMP,430.981524,2.726335,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"
535.weather_t,8,64,OMP,347.767362,9.273441,1,S,,,,,NR,"SelectedIteration (base #2; peak NR)"

SPEChpc2021_tny_base,7.504878,,,,7.504878
SPEChpc2021_tny_peak,"Not Run",,,,,,,,,,,"Not Run"

"Run number:",001
"runhpc command:","/lustre/home/br-spollard/SPEChpc/bin/harness/runhpc --rebuild --define model=omp --define ppn=1 --pmodel=OMP --config=hpe_cpe_gnu_8.cfg --ranks=8 --threads=64 --reportable --output_format=all --output_root=/home/br-spollard/tx2_spec_results/tiny/tiny_gnu_8_64 --iterations=2 tiny"
"output root:",/home/br-spollard/tx2_spec_results/tiny/tiny_gnu_8_64

"System Vendor:",Cray
"System Name:","Isambard 2: XC50 (ThunderX2)"
"Date tested:",Jul-2022
"hpc2021 License:",?
"Test sponsor:","University of Bristol"
"Tested by:","University of Bristol"
"Hardware avail:",May-2018
"Software avail:",Mar-2020


"Node Description: ThunderX2"

HARDWARE

"Number of nodes",8
"Uses of the node",Compute
Vendor,N/A
Model,N/A
"CPU Name","Marvell ThunderX2 CN9980"
"CPU(s) orderable",N/A
"Chips enabled",2
"Cores enabled",64
"Cores per chip",32
"Threads per core",4
"CPU Characteristics","Permanent turbo to 2.5 GHz"
"CPU MHz",2100
"Primary Cache","32 KB I + 32 KB D on chip per core"
"Secondary Cache","256 KB I+D on chip per core"
"L3 Cache","32 MB I+D on chip per chip"
,"0.5 MB shared / 64 cores"
"Other Cache",None
Memory,"256 GB (8 x 32 GB)"
"Disk Subsystem",--
"Other Hardware",None
"Accel Count",N/A
"Accel Model",N/A
"Accel Vendor",N/A
"Accel Type",N/A
"Accel Connection",N/A
"Accel ECC enabled",N/A
"Accel Description",N/A
Adapter,None
"Number of Adapters",0
"Slot Type",None
"Data Rate",None
"Ports Used",0
"Interconnect Type",None

SOFTWARE

"Accelerator Driver",--
Adapter,None
"Adapter Driver",None
"Adapter Firmware",None
"Operating System","SUSE Linux Enterprise Server 15 SP1"
,"Linux 4.12.14-197.7_5.0.99-cray_ari_s"
"Local File System",xfs
"Shared File System",None
"System State","Multi-user, run level 3"
"Other Software",None


"Interconnect Description: Cray Aries"

HARDWARE

Vendor,Cray
Model,N/A
"Switch Model",N/A
,N/A
"Number of Switches",N/A
"Number of Ports",N/A
"Data Rate","14 Gb/s"
Firmware,N/A
Topology,Dragonfly
"Primary Use","MPI Traffic"

SOFTWARE

,--


"BENCHMARK DETAILS"

"Type of System","Homogenous Cluster"
"Compute Nodes Used",8
"Total Chips",16
"Total Cores",512
"Total Threads",2048
"Total Memory","2 TB"
"Max. Peak Threads",--
Compiler,"HPE Cray Programming Environment (CPE),"
,"C/C++/Fortran: GCC Version 9.3.0"
"MPI Library","HPE Cray Programming Environment (CPE),"
,"Cray-mvapich2 Version 2.3.6"
"Other MPI Info",--
"Other Software",--
"Base Parallel Model",OMP
"Base Ranks Run",8
"Base Threads Run",64
"Peak Parallel Models","Not Run"
"Minimum Peak Ranks",--
"Maximum Peak Ranks",--
"Max. Peak Threads",--
"Min. Peak Threads",--

"Submit Notes"

"The config file option 'submit' was used."

"Compiler Version Notes"

==============================================================================
" FC  519.clvleaf_t(base) 528.pot3d_t(base) 535.weather_t(base)
"
------------------------------------------------------------------------------
"GNU Fortran (GCC) 9.3.0 20200312 (Cray Inc.)"
"Copyright (C) 2019 Free Software Foundation, Inc."
"This is free software; see the source for copying conditions.  There is NO"
"warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE."
------------------------------------------------------------------------------

==============================================================================
" CXXC 532.sph_exa_t(base)
"
------------------------------------------------------------------------------
"g++ (GCC) 9.3.0 20200312 (Cray Inc.)"
"Copyright (C) 2019 Free Software Foundation, Inc."
"This is free software; see the source for copying conditions.  There is NO"
"warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE."
------------------------------------------------------------------------------

==============================================================================
" CC  505.lbm_t(base) 513.soma_t(base) 518.tealeaf_t(base) 521.miniswp_t(base)"
"      534.hpgmgfv_t(base)"
------------------------------------------------------------------------------
"gcc (GCC) 9.3.0 20200312 (Cray Inc.)"
"Copyright (C) 2019 Free Software Foundation, Inc."
"This is free software; see the source for copying conditions.  There is NO"
"warranty; not even for MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE."
------------------------------------------------------------------------------

"Base Runtime Environment"
505.lbm_t," No flags used"
513.soma_t," No flags used"
518.tealeaf_t," No flags used"
519.clvleaf_t," No flags used"
521.miniswp_t," No flags used"
528.pot3d_t," No flags used"
532.sph_exa_t," No flags used"
534.hpgmgfv_t," No flags used"
535.weather_t," No flags used"

"Base Compiler Invocation"
505.lbm_t," cc"," cc"
513.soma_t," cc"," cc"
518.tealeaf_t," cc"," cc"
519.clvleaf_t," ftn"," ftn"
521.miniswp_t," cc"," cc"
528.pot3d_t," ftn"," ftn"
532.sph_exa_t," CC"," CC"
534.hpgmgfv_t," cc"," cc"
535.weather_t," ftn"," ftn"

"Base Portability Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Base Optimization Flags"
505.lbm_t," -Ofast"," -fopenmp"
513.soma_t," -Ofast"," -fopenmp"
518.tealeaf_t," -Ofast"," -fopenmp"
519.clvleaf_t," -Ofast"," -fopenmp"
521.miniswp_t," -Ofast"," -fopenmp"
528.pot3d_t," -Ofast"," -fopenmp"
532.sph_exa_t," -Ofast"," -fopenmp"
534.hpgmgfv_t," -Ofast"," -fopenmp"
535.weather_t," -Ofast"," -fopenmp"

"Base Other Flags"
505.lbm_t," No flags used"
513.soma_t," No flags used"
518.tealeaf_t," No flags used"
519.clvleaf_t," No flags used"
521.miniswp_t," No flags used"
528.pot3d_t," No flags used"
532.sph_exa_t," No flags used"
534.hpgmgfv_t," No flags used"
535.weather_t," No flags used"

"Base Forbidden Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Base Unknown Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Runtime Environment"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Compiler Invocation"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Portability Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Optimization Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Other Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Forbidden Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t

"Peak Unknown Flags"
505.lbm_t
513.soma_t
518.tealeaf_t
519.clvleaf_t
521.miniswp_t
528.pot3d_t
532.sph_exa_t
534.hpgmgfv_t
535.weather_t
----------------
"For questions about","this result, please","contact the tester.",
"For other inquiries,","please contact",info@spec.org.,
"Copyright 2021-2022 Standard","Performance Evaluation",Corporation,
"Tested with SPEC hpc2021",v1.0.3.
"Result run on","2022-07-04 12:56:56+0000."
"Report generated on","2022-07-04 14:23:49","by SPEC hpc2021 CSV","formatter v1.0.3."
